id,db_id,question,gold_sql,reason,revised
314,customers_and_orders,What are the order ids and corresponding order dates for orders with a quantity greater than 6 or consisting of more than 3 products?,"SELECT T1.order_date , T1.order_id FROM Customer_Orders AS T1 JOIN Order_items AS T2 ON T1.order_id = T2.order_id WHERE T2.order_quantity > 6 UNION SELECT T1.order_date , T1.order_id FROM Customer_Orders AS T1 JOIN Order_items AS T2 ON T1.order_id = T2.order_id GROUP BY T1.order_id HAVING count(*) > 3;","1. order_quantity is stored as VARCHAR. The query compares it to the number 6 without casting, so the comparison is lexicographic. Quantities such as '10', '12' etc. would not satisfy order_quantity > 6, causing valid orders to be omitted.  2. The second branch measures the size of an order with COUNT(*), which counts rows, not distinct products. If an order lists the same product multiple times it can be over-counted, and an order with >3 rows but ≤3 distinct products would erroneously qualify. The requirement is COUNT(DISTINCT product_id) > 3.","SELECT c.order_id,   c.order_date  FROM Customer_Orders c  JOIN (   SELECT order_id,   SUM(CAST(order_quantity AS INTEGER)) AS total_qty,   COUNT(DISTINCT product_id) AS num_products   FROM Order_Items   GROUP BY order_id   ) oi ON c.order_id = oi.order_id  WHERE oi.total_qty > 6   OR oi.num_products > 3;"
330,region_building,Which region has the largest population? Give me the capital of the region.,SELECT Capital FROM region ORDER BY Population DESC LIMIT 1,"returns only the capital, so it fails to present the region name.","SELECT Name, Capital  FROM region  WHERE Population = (SELECT MAX(Population) FROM region);"
340,region_building,"For each building, return the address of the building and the name of the region it belongs to.","SELECT T1.Address , T2.Capital FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID","The question asks for each building’s address and the NAME of the region it belongs to (column Name in table region). The annotated query joins the correct tables but projects T2.Capital, which is the capital city of the region, not the region’s name.","SELECT b.Address, r.Name  FROM building AS b  JOIN region AS r ON b.Region_ID = r.Region_ID;"
371,government_shift,Find the details of the customers who have used the least-used service .,select distinct t1.customer_details from customers as t1 join customers_and_services as t2 on t1.customer_id = t2.customer_id where t2.service_id = (select service_id from services group by service_id order by count(*) asc limit 1),"The “least-used” concept must be derived from a usage table (Customers_and_Services or Customer_Interactions). Grouping the Services table cannot reveal usage frequency. The correct approach is to ① count how many rows each Service_ID has in a usage table, ② find the minimum of those counts, and ③ list customers linked to the service(s) with that minimum. The submitted query performs none of these steps and is therefore wrong.",SELECT DISTINCT c.Customer_Details  FROM Customers AS c  JOIN Customers_and_Services AS cs ON c.Customer_ID = cs.Customer_ID  WHERE cs.Service_ID IN (   SELECT cs2.Service_ID   FROM Customers_and_Services cs2   GROUP BY cs2.Service_ID   HAVING COUNT(*) = (   SELECT MIN(cnt)   FROM (   SELECT COUNT(*) AS cnt   FROM Customers_and_Services   GROUP BY Service_ID   )   )  );
372,government_shift,Which customers used the least commonly-used service ? Give me the distinct customer details .,select distinct t1.customer_details from customers as t1 join customers_and_services as t2 on t1.customer_id = t2.customer_id where t2.service_id = (select service_id from services group by service_id order by count(*) asc limit 1),"The least-used service must be derived from a table that records service usage (Customers_and_Services or Customer_Interactions). Grouping the Services catalogue yields the same count for every service, so the subquery fails. It also ignores ties. All referenced columns exist but the logic is incorrect.","WITH service_counts AS (   SELECT Service_ID, COUNT(*) AS cnt   FROM Customers_and_Services   GROUP BY Service_ID  ),  least_services AS (   SELECT Service_ID   FROM service_counts   WHERE cnt = (SELECT MIN(cnt) FROM service_counts)  )  SELECT DISTINCT c.Customer_Details  FROM Customers c  JOIN Customers_and_Services cs ON c.Customer_ID = cs.Customer_ID  JOIN least_services ls ON cs.Service_ID = ls.Service_ID;"
387,government_shift,List the details of all the customers who are associated with a failed integration platform .,"select distinct t1.customer_details from customers as t1 join customer_interactions as t2 on t1.customer_id = t2.customer_id join integration_platform as t3 where t3.integration_platform_details = ""fail""","Case-sensitivity 1. Intended logic: Customers → Customer_Interactions (via Customer_ID) → Integration_Platform (via Customer_Interaction_ID) → filter Integration_Platform_Details = 'Fail'.  2. Annotated query joins Customers to Customer_Interactions, but then adds JOIN integration_platform AS t3 without an ON clause, creating a cartesian product.  3. The WHERE filter is applied after the cartesian product, so customers with no failed integration can still appear as long as some other interaction anywhere has a 'Fail' record.  4. Therefore the query is logically wrong.",SELECT DISTINCT   c.Customer_Details  FROM Customers AS c  JOIN Customer_Interactions AS ci ON ci.Customer_ID = c.Customer_ID  JOIN Integration_Platform AS ip ON ip.Customer_Interaction_ID = ci.Customer_Interaction_ID  WHERE ip.Integration_Platform_Details = 'Fail';
388,government_shift,"Which customers have integration platform details ""Fail"" in interactions? Give me the customer details.","SELECT DISTINCT t1.customer_details FROM customers AS t1 JOIN customer_interactions AS t2 ON t1.customer_id = t2.customer_id JOIN integration_platform AS t3 WHERE t3.integration_platform_details = ""Fail""","1. Intended logic: Customers → Customer_Interactions (via Customer_ID) → Integration_Platform (via Customer_Interaction_ID) → filter Integration_Platform_Details = 'Fail'.  2. Annotated query joins Customers to Customer_Interactions, but then adds JOIN integration_platform AS t3 without an ON clause, creating a cartesian product.  3. The WHERE filter is applied after the cartesian product, so customers with no failed integration can still appear as long as some other interaction anywhere has a 'Fail' record.  4. Therefore the query is logically wrong.",SELECT DISTINCT   c.Customer_Details  FROM Customers AS c  JOIN Customer_Interactions AS ci ON ci.Customer_ID = c.Customer_ID  JOIN Integration_Platform AS ip ON ip.Customer_Interaction_ID = ci.Customer_Interaction_ID  WHERE ip.Integration_Platform_Details = 'Fail';
393,government_shift,Find details of all the services that have been marked as `` unsatisfied '' in customers and services details .,"select distinct t1.service_details from services as t1 join customers_and_services as t2 on t1.service_id = t2.service_id where t2.customers_and_services_details = ""unsatisfied""","The query joins the correct tables and filters on the status column, but it compares against the literal string ""unsatisfied"" (all-lower-case). In the data the value is stored as ""Unsatisfied"" (capital U), and SQLite comparisons are case-sensitive by default, so the annotated query returns zero rows and fails to answer the question.",SELECT DISTINCT s.Service_Details  FROM Services AS s  JOIN Customers_and_Services AS cs   ON s.Service_ID = cs.Service_ID  WHERE cs.Customers_and_Services_Details = 'Unsatisfied';
405,vehicle_rent,Show all types of powertrain and the number of vehicles in each type.,"SELECT type_of_powertrain , count(*) FROM vehicles GROUP BY type_of_powertrain",The query groups by the raw text that appears in Type_of_powertrain. In the data this column contains the same category written with different capitalisation (e.g. “Electric” and “electric”). The annotated query therefore returns two separate rows for what is logically the same power-train type and reports incorrect counts.,"SELECT LOWER(Type_of_powertrain) AS powertrain,   COUNT(*) AS num_vehicles  FROM Vehicles  GROUP BY powertrain;"
406,vehicle_rent,How many vehicles have each type of powertrain?,"SELECT type_of_powertrain , count(*) FROM vehicles GROUP BY type_of_powertrain",The query groups by the raw text that appears in Type_of_powertrain. In the data this column contains the same category written with different capitalisation (e.g. “Electric” and “electric”). The annotated query therefore returns two separate rows for what is logically the same power-train type and reports incorrect counts.,"SELECT LOWER(Type_of_powertrain) AS powertrain,   COUNT(*) AS num_vehicles  FROM Vehicles  GROUP BY powertrain;"
423,vehicle_rent,Show the name and total hours of renting for each vehicle.,"SELECT T2.name , sum(T1.total_hours) FROM renting_history AS T1 JOIN vehicles AS T2 ON T1.vehicles_id = T2.id GROUP BY T2.id","However, the wording “for each vehicle” could imply that vehicles with zero rentals should also appear (with 0 hours). The current INNER JOIN excludes such vehicles. Because the question does not clarify whether those should be included, the requirement is ambiguous, but the query itself is logically sound for one reasonable interpretation.","SELECT V.name, COALESCE(SUM(R.total_hours), 0) AS total_hours  FROM Vehicles AS V  LEFT JOIN Renting_history AS R ON V.id = R.vehicles_id  GROUP BY V.id;"
424,vehicle_rent,What are the names and total rental hours for each vehicle?,"SELECT T2.name , sum(T1.total_hours) FROM renting_history AS T1 JOIN vehicles AS T2 ON T1.vehicles_id = T2.id GROUP BY T2.id","The query correctly joins Renting_history with Vehicles and sums total_hours, but because it uses an INNER JOIN it omits any vehicle that has never been rented. The current database contains at least one such vehicle (Ford Focus Electric), so the result set is incomplete when the phrase “for each vehicle” is taken literally to mean every row in Vehicles.","SELECT V.name,   COALESCE(SUM(R.total_hours), 0) AS total_rental_hours  FROM Vehicles V  LEFT JOIN Renting_history R ON R.vehicles_id = V.id  GROUP BY V.id;"
433,vehicle_rent,What is the discount name with most number of renting history records?,SELECT T2.name FROM renting_history AS T1 JOIN discount AS T2 ON T1.discount_id = T2.id GROUP BY T2.id ORDER BY count(*) DESC LIMIT 1,"Ambiguity arises because the question (and consequently the query with LIMIT 1) assumes there is a single discount with the highest count. If two or more discounts tie for the maximum frequency, SQLite will return an arbitrary one, making the result non-deterministic. The question does not specify a tie-breaking rule or whether all tied discounts should be returned, hence it is ambiguous.",SELECT T2.name  FROM Renting_history T1  JOIN Discount T2 ON T1.discount_id = T2.id  GROUP BY T2.id  HAVING COUNT(*) = (   SELECT MAX(cnt)   FROM (   SELECT COUNT(*) AS cnt   FROM Renting_history   GROUP BY discount_id   )  )  ORDER BY T2.name;
434,vehicle_rent,Return the name of the discount that corresponds to the most rental history records.,SELECT T2.name FROM renting_history AS T1 JOIN discount AS T2 ON T1.discount_id = T2.id GROUP BY T2.id ORDER BY count(*) DESC LIMIT 1,"Ambiguity arises because the question (and consequently the query with LIMIT 1) assumes there is a single discount with the highest count. If two or more discounts tie for the maximum frequency, SQLite will return an arbitrary one, making the result non-deterministic. The question does not specify a tie-breaking rule or whether all tied discounts should be returned, hence it is ambiguous.",SELECT T2.name  FROM Renting_history T1  JOIN Discount T2 ON T1.discount_id = T2.id  GROUP BY T2.id  HAVING COUNT(*) = (   SELECT MAX(cnt)   FROM (   SELECT COUNT(*) AS cnt   FROM Renting_history   GROUP BY discount_id   )  )  ORDER BY T2.name;
441,cre_Students_Information_Systems,List the biographical data and student id for the students who take 2 or more classes and the students who have less than 2 detentions.,"SELECT T1.bio_data , T1.student_id FROM Students AS T1 JOIN Classes AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING count(*) >= 2 UNION SELECT T1.bio_data , T1.student_id FROM Students AS T1 JOIN Detention AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING count(*) < 2","The first sub-query (Students→Classes) correctly returns students enrolled in at least two classes. The second sub-query counts detentions only for students that appear in the Detention table, so the GROUP BY … HAVING COUNT(*) < 2 returns only students with exactly one detention, omitting those with none.","WITH class_counts AS (   SELECT student_id, COUNT(*) AS class_cnt   FROM Classes   GROUP BY student_id  ),   det_counts AS (   SELECT student_id, COUNT(*) AS det_cnt   FROM Detention   GROUP BY student_id  )  SELECT s.bio_data, s.student_id  FROM Students s  LEFT JOIN class_counts cc ON cc.student_id = s.student_id  LEFT JOIN det_counts dc ON dc.student_id = s.student_id  WHERE COALESCE(cc.class_cnt,0) >= 2   OR COALESCE(dc.det_cnt,0) < 2;"
442,cre_Students_Information_Systems,What are the biographical data and student id of the students who either took two or more classes and or have less than two detentions?,"SELECT T1.bio_data , T1.student_id FROM Students AS T1 JOIN Classes AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING count(*) >= 2 UNION SELECT T1.bio_data , T1.student_id FROM Students AS T1 JOIN Detention AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id HAVING count(*) < 2","The query tries to obtain students who satisfy either of two conditions: (1) at least two classes, (2) fewer than two detentions.   - For the class-count branch the INNER JOIN with Classes and HAVING COUNT(*) >= 2 is correct.  - For the detention branch the INNER JOIN with Detention and HAVING COUNT(*) < 2 is wrong because an INNER JOIN only returns students that have at least one detention row. Students with zero detentions (which clearly satisfy “< 2 detentions”) will never appear, so the answer set is incomplete.  - The UNION part therefore does not repair the error; the result misses all 0-detention students. All referenced tables/columns are valid, but the logic is wrong.","SELECT s.bio_data, s.student_id  FROM Students s  LEFT JOIN (SELECT student_id, COUNT(*) AS num_classes   FROM Classes   GROUP BY student_id) c ON s.student_id = c.student_id  LEFT JOIN (SELECT student_id, COUNT(*) AS num_detentions   FROM Detention   GROUP BY student_id) d ON s.student_id = d.student_id  WHERE COALESCE(c.num_classes,0) >= 2   OR COALESCE(d.num_detentions,0) < 2;"
453,cre_Students_Information_Systems,List the personal details and the address type descriptions of all the students.,"SELECT DISTINCT T1.student_details , T3.address_type_description FROM Students AS T1 JOIN Students_Addresses AS T2 ON T1.student_id = T2.student_id JOIN Ref_Address_Types AS T3 ON T2.address_type_code = T3.address_type_code","The intent is to return one row per (student, address-type) combination (or NULL when none) for every student. The annotated query:  • selects student_details, which might or might not be what the question means.  • INNER JOINs Students → Students_Addresses → Ref_Address_Types; therefore any student without an address record is lost.","SELECT S.student_details,   R.address_type_description  FROM Students AS S  LEFT JOIN Students_Addresses AS SA ON SA.student_id = S.student_id  LEFT JOIN Ref_Address_Types AS R ON R.address_type_code = SA.address_type_code;"
454,cre_Students_Information_Systems,What are the personal details and the address type descriptions of each student?,"SELECT DISTINCT T1.student_details , T3.address_type_description FROM Students AS T1 JOIN Students_Addresses AS T2 ON T1.student_id = T2.student_id JOIN Ref_Address_Types AS T3 ON T2.address_type_code = T3.address_type_code","The annotated query performs INNER JOINs between Students, Students_Addresses, and Ref_Address_Types. This means only students that possess at least one address record are returned, whereas the wording “each student” implies that every student should appear even if the address-type information is missing; therefore a LEFT JOIN from Students is required. In addition, the question asks for a student’s “personal details,” but the schema contains two plausible columns—student_details and bio_data.","SELECT s.student_details,   rat.address_type_description  FROM Students AS s  LEFT JOIN Students_Addresses AS sa   ON sa.student_id = s.student_id  LEFT JOIN Ref_Address_Types AS rat   ON rat.address_type_code = sa.address_type_code  ORDER BY s.student_id;"
456,cre_Students_Information_Systems,What are the address details and biographical information of each student?,"SELECT T1.address_details , T3.bio_data FROM Addresses AS T1 JOIN Students_Addresses AS T2 ON T1.address_id = T2.address_id JOIN Students AS T3 ON T2.student_id = T3.student_id","The question asks for the address details together with the biographical information of **each** student.   • “Each student” means the result set must include all students that exist in the Students table, even those for whom no address has been recorded.   • The annotated query begins with the Addresses table and uses only INNER JOINs. Any student who lacks a related row in Students_Addresses / Addresses will therefore be dropped from the result, so the requirement is not fulfilled.","SELECT    a.address_details,     s.bio_data  FROM Students AS s  LEFT JOIN Students_Addresses AS sa   ON s.student_id = sa.student_id  LEFT JOIN Addresses AS a   ON sa.address_id = a.address_id;"
457,cre_Students_Information_Systems,List the biographical data and the date of the transcript of all the students.,"SELECT T1.bio_data , T2.date_of_transcript FROM Students AS T1 JOIN Transcripts AS T2 ON T1.student_id = T2.student_id","The annotated query performs an INNER JOIN between Students and Transcripts, so any student who lacks a transcript row is excluded, contradicting the requirement ""all the students"".","SELECT s.bio_data,   t.date_of_transcript  FROM Students AS s  LEFT JOIN Transcripts AS t   ON s.student_id = t.student_id;"
458,cre_Students_Information_Systems,What are the biographical data and the date of transcript issuance of each student?,"SELECT T1.bio_data , T2.date_of_transcript FROM Students AS T1 JOIN Transcripts AS T2 ON T1.student_id = T2.student_id","The question asks for the biographical data and the transcript-issuance date “of each student”. The supplied query uses an INNER JOIN, which returns only those students who actually have at least one row in the Transcripts table; any student without a transcript will be omitted, so the requirement of “each student” is not met.","SELECT s.bio_data,   t.date_of_transcript  FROM Students AS s  LEFT JOIN Transcripts AS t   ON s.student_id = t.student_id;"
459,cre_Students_Information_Systems,How many students got the most common result in the behavioral monitoring details? Also list the result details.,"SELECT count(DISTINCT student_id) , behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1","Ambiguity arises because “most common” could just as reasonably be interpreted as the detail that applies to the largest number of different students, in which case the ordering should be by count(DISTINCT student_id) instead of count(*).","SELECT count(DISTINCT student_id) , behaviour_monitoring_details  FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(DISTINCT student_id) DESC LIMIT 1"
460,cre_Students_Information_Systems,Find the most common result in the behavioral monitoring details. What are the count and the details of this result?,"SELECT count(DISTINCT student_id) , behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1","The question asks for the value in Behaviour_Monitoring.behaviour_monitoring_details that appears most frequently, along with the number of occurrences (row count).   The annotated query ranks the details by raw row frequency (ORDER BY COUNT(*) DESC), so it will select the correct detail value, but it outputs COUNT(DISTINCT student_id), which measures how many different students generated that detail, not the total number of rows.","SELECT COUNT(*) AS result_count,   behaviour_monitoring_details  FROM Behaviour_Monitoring  GROUP BY behaviour_monitoring_details  ORDER BY result_count DESC  LIMIT 1;"
461,cre_Students_Information_Systems,Which students not only got the most common result but also got a result obtained by 3 students in behaviour monitoring? List the student's biographical data and details.,"SELECT T1.bio_data , T1.student_details FROM Students AS T1 JOIN Behaviour_Monitoring AS T2 ON T1.student_id = T2.student_id WHERE T2.behaviour_monitoring_details IN ( SELECT behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details ORDER BY count(*) DESC LIMIT 1 ) INTERSECT SELECT T1.bio_data , T1.student_details FROM Students AS T1 JOIN Behaviour_Monitoring AS T2 ON T1.student_id = T2.student_id WHERE T2.behaviour_monitoring_details IN ( SELECT behaviour_monitoring_details FROM Behaviour_Monitoring GROUP BY behaviour_monitoring_details HAVING count(*) = 3 )","Both sub-queries use COUNT(*) on the Behaviour_Monitoring table. The requirement speaks about “students”, therefore the count should be on DISTINCT student_id. If a student has several rows with the same detail, the row count will overstate the number of students and the query will pick/skip details incorrectly.","WITH bm AS (   SELECT behaviour_monitoring_details,   COUNT(DISTINCT student_id) AS stu_cnt   FROM Behaviour_Monitoring   GROUP BY behaviour_monitoring_details  ),  most_common AS (   SELECT behaviour_monitoring_details   FROM bm   WHERE stu_cnt = (SELECT MAX(stu_cnt) FROM bm) -- keep all ties  ),  exact3 AS (   SELECT behaviour_monitoring_details   FROM bm   WHERE stu_cnt = 3  ),  stu_most AS (   SELECT DISTINCT student_id   FROM Behaviour_Monitoring   WHERE behaviour_monitoring_details IN (SELECT behaviour_monitoring_details FROM most_common)  ),  stu_exact3 AS (   SELECT DISTINCT student_id   FROM Behaviour_Monitoring   WHERE behaviour_monitoring_details IN (SELECT behaviour_monitoring_details FROM exact3)  )  SELECT s.bio_data,   s.student_details  FROM Students s  WHERE s.student_id IN (SELECT student_id FROM stu_most)   AND s.student_id IN (SELECT student_id FROM stu_exact3);"
